csv,mp4,new_csv,new_mp4,vfa,vfa_changed_name
07-25-23-A-L-2-20p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-25-23-A-L-2-20p-TOT-1st.mp4,mice1_dlc.csv,mice1.mp4,mice1.csv,07-25-2023-A-L-2-20p-TOT-1st.csv
07-25-23-A-N-4-20p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-25-23-A-N-4-20p-TOT-1st.mp4,mice2_dlc.csv,mice2.mp4,mice2.csv,07-25-2023-A-N-4-20p-TOT-1st.csv
07-25-23-A-R-1-80p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-25-23-A-R-1-80p-TOT-1st.mp4,mice3_dlc.csv,mice3.mp4,mice3.csv,07-25-2023-A-R-1-80p-TOT-1st.csv
07-25-23-B-RL-6-50p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-25-23-B-RL-6-50p-TOT-1st.mp4,mice4_dlc.csv,mice4.mp4,mice4.csv,07-25-2023-B-RL-6-50p-TOT-1st.csv
07-25-23-W-L-2-80p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,07-25-23-W-L-2-80p-TOT-1st.mp4,mice5_dlc.csv,mice5.mp4,mice5.csv,07-25-2023-W-L-2-80p-TOT-1st.csv
07-25-23-W-N-4-50p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,07-25-23-W-N-4-50p-TOT-1st.mp4,mice6_dlc.csv,mice6.mp4,mice6.csv,07-25-2023-W-N-4-50p-TOT-1st.csv
07-25-23-W-R-1-20p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,07-25-23-W-R-1-20p-TOT-1st.mp4,mice7_dlc.csv,mice7.mp4,mice7.csv,07-25-2023-W-R-1-20p-TOT-1st.csv
07-25-23-W-RL-3-50p-TOT-1stDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_old_maleJun27shuffle1_1000000.csv,07-25-23-W-RL-3-50p-TOT-1st.mp4,mice8_dlc.csv,mice8.mp4,mice8.csv,07-25-2023-W-RL-3-50p-TOT-1st.csv
07-25-23-X-L-7-20p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-X-L-7-20p-TOT-1st.mp4,mice9_dlc.csv,mice9.mp4,mice9.csv,07-25-2023-X-L-7-20p-TOT-1st.csv
07-25-23-X-RL-6-50p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-X-RL-6-50p-TOT-1st.mp4,mice10_dlc.csv,mice10.mp4,mice10.csv,07-25-2023-X-RL-6-50p-TOT-1st.csv
07-25-23-Z-L-15-50p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-Z-L-15-50p-TOT-1st.mp4,mice11_dlc.csv,mice11.mp4,mice11.csv,07-25-2023-Z-L-15-50p-TOT-1st.csv
07-25-23-Z-N-13-80p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-Z-N-13-80p-TOT-1st.mp4,mice12_dlc.csv,mice12.mp4,mice12.csv,07-25-2023-Z-N-13-80p-TOT-1st.csv
07-25-23-Z-R-16-20p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-Z-R-16-20p-TOT-1st.mp4,mice13_dlc.csv,mice13.mp4,mice13.csv,07-25-2023-Z-R-16-20p-TOT-1st.csv
07-25-23-Z-RL-14-80p-TOT-1stDLC_resnet50_CPT_TOT_DS_Stage_3_2nd_new_male_V2Jul20shuffle1_1000000.csv,07-25-23-Z-RL-14-80p-TOT-1st.mp4,mice14_dlc.csv,mice14.mp4,mice14.csv,07-25-2023-Z-RL-14-80p-TOT-1st.csv
07-27-23-A-L-2-20p-TOT-2ndDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-27-23-A-L-2-20p-TOT-2nd.mp4,mice15_dlc.csv,mice15.mp4,mice15.csv,07-27-2023-A-L-2-20p-TOT-2nd.csv
07-27-23-A-N-4-20p-TOT-2ndDLC_resnet50_CPT_DS_TOT_Stage_3_2nd_femaleJul1shuffle1_1030000.csv,07-27-23-A-N-4-20p-TOT-2nd.mp4,mice16_dlc.csv,mice16.mp4,mice16.csv,07-27-2023-A-N-4-20p-TOT-2nd.csv
